subject,day,session_name,session_label,session_order,completed,trials_to_clear,time_to_clear_sec,time_to_clear_min,day_elapsed_at_clear_sec,day_elapsed_at_clear_min,total_trials_recorded,total_session_elapsed_sec,total_session_elapsed_min
s01,2026-05-28,basic_consonants,S1 Basic consonants,1,0,,,,,,14,,
s01,2026-05-28,long_consonants,S2 Long consonants,2,0,,,,,,14,,
s01,2026-05-28,double_consonants,S3 Double consonants,3,0,,,,,,10,,
s01,2026-05-28,all_consonants,S4 All consonants,4,0,,,,,,38,,
s01,2026-05-28,basic_vowels,S5 Basic vowels,5,0,,,,,,12,,
s01,2026-05-28,double_vowels,S6 Double vowels,6,0,,,,,,10,,
s01,2026-05-28,complex_vowels,S7 Complex vowels,7,0,,,,,,16,,
s01,2026-05-28,all_vowels,S8 All vowels,8,0,,,,,,69,,
s01,2026-05-28,syllable_top50,S9 Syllable Top 50,9,0,,,,,,50,,
s01,2026-06-02,basic_consonants,S1 Basic consonants,1,0,,,,,,26,,
s01,2026-06-02,long_consonants,S2 Long consonants,2,0,,,,,,28,,
s01,2026-06-02,double_consonants,S3 Double consonants,3,0,,,,,,10,,
s01,2026-06-02,all_consonants,S4 All consonants,4,0,,,,,,54,,
s01,2026-06-02,basic_vowels,S5 Basic vowels,5,0,,,,,,12,,
s01,2026-06-02,double_vowels,S6 Double vowels,6,0,,,,,,10,,
s01,2026-06-02,complex_vowels,S7 Complex vowels,7,0,,,,,,16,,
s01,2026-06-02,all_vowels,S8 All vowels,8,0,,,,,,76,,
s01,2026-06-02,syllable_top50,S9 Syllable Top 50,9,0,,,,,,50,,
s01,2026-06-02,syllable_top100,S10 Syllable Top 100,10,0,,,,,,33,,
s01,2026-06-04,basic_consonants,S1 Basic consonants,1,0,,,,,,14,,
s01,2026-06-04,long_consonants,S2 Long consonants,2,0,,,,,,18,,
s01,2026-06-04,double_consonants,S3 Double consonants,3,0,,,,,,10,,
s01,2026-06-04,all_consonants,S4 All consonants,4,0,,,,,,38,,
s01,2026-06-04,basic_vowels,S5 Basic vowels,5,0,,,,,,12,,
s01,2026-06-04,double_vowels,S6 Double vowels,6,0,,,,,,10,,
s01,2026-06-04,complex_vowels,S7 Complex vowels,7,0,,,,,,16,,
s01,2026-06-04,all_vowels,S8 All vowels,8,0,,,,,,38,,
s01,2026-06-04,syllable_top50,S9 Syllable Top 50,9,0,,,,,,50,,
