subject,day,session_name,voice_engine,stt_model,n_trials,accuracy,rt_mean_sec,rt_from_stimulus_mean_sec,process_time_mean_sec
s01,2026-05-28,all_consonants,ml_jamo,,38,1.0,1.4258761657861454,1.1231340605229876,0.3508764421046515
s01,2026-05-28,all_vowels,ml_jamo,,69,0.9855072463768116,1.7545083434729283,1.025289502893218,0.3576493681108147
s01,2026-05-28,basic_consonants,ml_jamo,,14,1.0,0.8969997857181754,0.7469997857181755,0.22894137143157417
s01,2026-05-28,basic_vowels,ml_jamo,,12,1.0,1.1468105916962184,0.7961439250295516,0.34755255000588176
s01,2026-05-28,complex_vowels,ml_jamo,,16,1.0,2.950464400011697,2.0483394000116966,0.34682874376449035
s01,2026-05-28,double_consonants,ml_jamo,,10,1.0,1.3571907100151293,0.9067707100151294,0.2296049899887293
s01,2026-05-28,double_vowels,ml_jamo,,10,1.0,1.4390913099632598,0.5469913099632598,0.3439346399973146
s01,2026-05-28,long_consonants,ml_jamo,,14,1.0,1.5830321571473698,1.2330321571473697,0.22379230715367673
s01,2026-05-28,syllable_top50,stt_syllable,,50,0.96,3.086314029998612,2.0666300299986116,1.4367089219926856
s01,2026-06-02,all_consonants,ml_jamo,,54,0.9629629629629629,1.282651327757372,0.9751272536832977,0.3476196092605177
s01,2026-06-02,all_vowels,ml_jamo,,76,0.9473684210526315,1.4792865144677068,0.7539444092045489,0.34379658027012877
s01,2026-06-02,basic_consonants,ml_jamo,,26,0.9615384615384616,1.0464858115346243,0.8964858115346244,0.35981088847172654
s01,2026-06-02,basic_vowels,ml_jamo,,12,1.0,1.2576763083343394,0.9070096416676727,0.3410930583098282
s01,2026-06-02,complex_vowels,ml_jamo,,16,1.0,1.9737575187609764,1.0716325187609763,0.33874671247031074
s01,2026-06-02,double_consonants,ml_jamo,,10,1.0,1.0011706999735908,0.5507506999735907,0.35722546007018535
s01,2026-06-02,double_vowels,ml_jamo,,10,1.0,1.3810593899572268,0.48895938995722676,0.3380433699814603
s01,2026-06-02,long_consonants,ml_jamo,,28,0.9285714285714286,1.2010011106862553,0.8510011106862553,0.3583667035896464
s01,2026-06-02,syllable_top100,stt_syllable,,33,0.7878787878787878,2.5887385878824825,1.455517963642164,0.9052876181844057
s01,2026-06-02,syllable_top50,stt_syllable,,50,0.94,2.6015117940027266,1.5902056140042393,1.1196065720031039
s01,2026-06-04,all_consonants,ml_jamo,,38,1.0,1.131098465779551,0.8283563605163933,0.3509427447447945
s01,2026-06-04,all_vowels,ml_jamo,,38,1.0,1.4607549078799293,0.7354128026167714,0.34732217895553297
s01,2026-06-04,basic_consonants,ml_jamo,,14,1.0,0.9135888500105855,0.7635888500105856,0.3661238142854667
s01,2026-06-04,basic_vowels,ml_jamo,,12,1.0,0.9987523499876261,0.6480856833209594,0.3579995333372305
s01,2026-06-04,complex_vowels,ml_jamo,,16,1.0,1.7898455062531866,0.8877205062531865,0.3429027125093853
s01,2026-06-04,double_consonants,ml_jamo,,10,1.0,0.9173850800376385,0.46696508003763854,0.3453292000573128
s01,2026-06-04,double_vowels,ml_jamo,,10,1.0,1.2965894700260834,0.40448947002608326,0.3439753700280562
s01,2026-06-04,long_consonants,ml_jamo,,18,0.9444444444444444,1.0779338277772896,0.7279338277772897,0.35096398888466257
s01,2026-06-04,syllable_top50,stt_syllable,,50,0.98,2.2096688400162385,1.1899848400162383,1.7929506300156937
