position,position_label,exposure_index,accuracy,n_trials,rt_mean_correct
1,P1 wrist-left,1.0,0.3333333333333333,6,1.3736724499613047
1,P1 wrist-left,2.0,0.6666666666666666,6,1.6425547750550322
1,P1 wrist-left,3.0,0.8333333333333334,6,2.0043595400173215
1,P1 wrist-left,4.0,0.8333333333333334,6,1.5966881200205534
1,P1 wrist-left,5.0,1.0,5,3.091131620062515
1,P1 wrist-left,6.0,1.0,3,2.567113466716061
1,P1 wrist-left,7.0,1.0,2,1.7170897501055151
1,P1 wrist-left,8.0,1.0,1,1.239572599995881
2,P2 wrist-center,1.0,0.3333333333333333,6,1.6856908499030396
2,P2 wrist-center,2.0,1.0,6,2.1764060666707032
2,P2 wrist-center,3.0,0.8333333333333334,6,1.2317884599789977
2,P2 wrist-center,4.0,0.8333333333333334,6,1.2241414000280202
2,P2 wrist-center,5.0,1.0,5,1.375864199968055
2,P2 wrist-center,6.0,1.0,3,1.317184533380593
2,P2 wrist-center,7.0,1.0,2,0.922481399960816
2,P2 wrist-center,8.0,1.0,1,1.1456115001346916
2,P2 wrist-center,9.0,1.0,1,0.7865361000876874
3,P3 wrist-right,1.0,0.16666666666666666,6,1.0885848000179976
3,P3 wrist-right,2.0,0.3333333333333333,6,1.4183174000354484
3,P3 wrist-right,3.0,0.8333333333333334,6,0.8716034600045532
3,P3 wrist-right,4.0,0.8,5,1.670563924999442
3,P3 wrist-right,5.0,0.8,5,2.5514084749738686
3,P3 wrist-right,6.0,0.6666666666666666,3,1.8969900499796495
3,P3 wrist-right,7.0,1.0,2,1.148327250033617
3,P3 wrist-right,8.0,1.0,1,1.1144690001383424
4,P4 mid-left,1.0,0.3333333333333333,6,2.4668101499555632
4,P4 mid-left,2.0,0.16666666666666666,6,1.8977838000282643
4,P4 mid-left,3.0,0.5,6,2.997545833388964
4,P4 mid-left,4.0,0.6666666666666666,6,2.039053450047504
4,P4 mid-left,5.0,0.8,5,3.231070375011768
4,P4 mid-left,6.0,1.0,3,1.8577593333708744
4,P4 mid-left,7.0,0.0,1,
4,P4 mid-left,8.0,1.0,1,1.89836289989762
5,P5 mid-center,1.0,0.16666666666666666,6,1.4167158000636846
5,P5 mid-center,2.0,0.6666666666666666,6,2.018827624968253
5,P5 mid-center,3.0,0.6666666666666666,6,1.9183132750331424
5,P5 mid-center,4.0,0.8333333333333334,6,1.7582236800342799
5,P5 mid-center,5.0,1.0,5,1.584540159953758
5,P5 mid-center,6.0,1.0,3,1.1890928666107357
5,P5 mid-center,7.0,1.0,1,1.0292261999566108
5,P5 mid-center,8.0,1.0,1,1.0842611999250948
5,P5 mid-center,9.0,1.0,1,1.5976658998988569
6,P6 mid-right,1.0,0.0,6,
6,P6 mid-right,2.0,0.6666666666666666,6,2.1222161250188947
6,P6 mid-right,3.0,0.3333333333333333,6,1.3583617999684066
6,P6 mid-right,4.0,1.0,6,2.407990683374616
6,P6 mid-right,5.0,1.0,4,2.053043675085064
6,P6 mid-right,6.0,0.6666666666666666,3,1.4770366000011563
6,P6 mid-right,7.0,1.0,2,1.1185666000237688
6,P6 mid-right,8.0,1.0,1,1.3537419000640512
7,P7 elbow-left,1.0,0.16666666666666666,6,2.136003100080416
7,P7 elbow-left,2.0,0.0,6,
7,P7 elbow-left,3.0,0.6666666666666666,6,1.5375970000750385
7,P7 elbow-left,4.0,1.0,6,1.580445933310936
7,P7 elbow-left,5.0,1.0,5,1.129038259992376
7,P7 elbow-left,6.0,1.0,3,1.237066733262812
7,P7 elbow-left,7.0,1.0,2,2.7089261000510305
7,P7 elbow-left,8.0,1.0,1,1.8064808000344783
7,P7 elbow-left,9.0,1.0,1,1.7451522999908775
8,P8 elbow-center,1.0,0.16666666666666666,6,2.46386340004392
8,P8 elbow-center,2.0,0.6666666666666666,6,1.829532699950505
8,P8 elbow-center,3.0,0.3333333333333333,6,1.928510700003244
8,P8 elbow-center,4.0,0.6666666666666666,6,1.4545218749553896
8,P8 elbow-center,5.0,1.0,5,2.0405087999999525
8,P8 elbow-center,6.0,1.0,3,2.4476513667808226
8,P8 elbow-center,7.0,1.0,2,1.0131567500066012
8,P8 elbow-center,8.0,1.0,1,1.08724240004085
9,P9 elbow-right,1.0,0.3333333333333333,6,1.4932931498624384
9,P9 elbow-right,2.0,0.5,6,1.6380579000494133
9,P9 elbow-right,3.0,0.6666666666666666,6,1.4103888750541955
9,P9 elbow-right,4.0,0.6666666666666666,6,1.109611599938944
9,P9 elbow-right,5.0,1.0,6,1.9622886499855667
9,P9 elbow-right,6.0,0.6666666666666666,3,2.271182999946177
9,P9 elbow-right,7.0,1.0,2,1.7482859001029283
9,P9 elbow-right,8.0,1.0,1,3.007740099914372
