correct_symbol,n_observations,learned_count,exposures_to_learn_mean,exposures_to_learn_median,exposures_to_learn_sem,effective_exposures_to_learn_mean,effective_exposures_to_learn_median,elapsed_sec_to_learn_mean,final_item_accuracy_mean
디귿,6,5,4.2,4.0,0.58309518948453,4.666666666666667,4.5,149.1319211959839,0.7333333333333334
니은,6,4,4.25,4.0,0.6291528696058958,5.166666666666667,5.0,144.19017988443375,0.6695767195767196
비읍,6,4,4.5,4.5,0.28867513459481287,5.166666666666667,5.0,160.2708032131195,0.6857142857142856
기역,6,6,4.666666666666667,5.0,0.4216370213557839,4.666666666666667,5.0,150.45050839583078,0.7537698412698414
이응,6,5,4.8,5.0,0.6633249580710799,4.833333333333333,5.0,162.22786989212037,0.760978835978836
지읒,6,5,4.8,5.0,0.58309518948453,5.5,5.5,158.67601671218873,0.6718253968253968
시옷,6,3,5.0,4.0,1.0,5.666666666666667,6.0,177.0706463654836,0.6416666666666667
미음,6,3,5.0,5.0,0.5773502691896258,6.0,6.0,169.3421536286672,0.5898809523809524
리을,6,4,5.25,5.5,0.8539125638299665,5.833333333333333,5.5,169.0783998966217,0.6759920634920635
