correct_symbol,exposure_index,rt_mean,rt_sem,n_correct_rt
기역,1.0,1.3736724499613047,0.3152796500362456,2
기역,2.0,1.041932599968277,0.16333180002402514,2
기역,3.0,1.7412258800584823,0.7625149167338506,5
기역,4.0,2.1418011833836013,0.5512438496671058,6
기역,5.0,2.6098924999241717,0.9156282598749904,4
기역,6.0,1.586649000023802,0.1503854154126781,3
기역,7.0,1.0866832500323653,0.08850484993308776,2
기역,8.0,1.3537419000640512,,1
니은,1.0,1.1441193998325616,,1
니은,2.0,2.3168997000126788,1.340082868630767,3
니은,3.0,0.9587040333232532,0.0985643450545322,3
니은,4.0,1.476741133374162,0.3500069620405574,6
니은,5.0,2.2629455800168214,1.0064287997381554,5
니은,6.0,1.2957949000410736,0.18081169994547963,2
니은,7.0,1.0603872500360012,0.0015578500460831088,2
니은,8.0,1.1456115001346916,,1
니은,9.0,0.7865361000876874,,1
디귿,1.0,1.252650300040841,0.16406550002284348,2
디귿,2.0,1.0985985666047782,0.06568850920679398,3
디귿,3.0,1.1831633500405587,0.18781352403790233,4
디귿,4.0,1.8139061000547372,0.42555177413924744,4
디귿,5.0,1.5544766400009393,0.2458070821286038,5
디귿,6.0,1.317383399931714,0.13021949184434406,3
디귿,7.0,1.659225800074637,,1
디귿,8.0,1.8064808000344783,,1
디귿,9.0,1.7451522999908775,,1
리을,1.0,2.4668101499555632,1.051292949938215,2
리을,2.0,1.6561761000193655,0.1484871486204799,3
리을,3.0,2.251149900024757,0.548610325289961,5
리을,4.0,1.9952866500243545,0.5103670868862386,4
리을,5.0,1.4013756499625742,0.1621146770139113,4
리을,6.0,1.4182852000230923,0.2997947999974712,2
리을,7.0,1.0423047499498352,0.25617135001812114,2
리을,8.0,1.1144690001383424,,1
미음,2.0,2.759470233305668,0.2922473299172586,3
미음,3.0,1.8822670000372455,0.4642502000788226,2
미음,4.0,1.2123966999351978,0.14773429770227137,5
미음,5.0,2.5329278400167823,0.9623869550082477,5
미음,6.0,2.0624746999237686,0.3763870999682694,2
미음,7.0,1.7482859001029283,0.20962410001084208,2
미음,8.0,3.007740099914372,,1
비읍,2.0,2.548380633428072,0.336425706677263,3
비읍,3.0,1.7056126399897038,0.2913959035281916,5
비읍,4.0,1.54316723998636,0.34719920051056014,5
비읍,5.0,2.222026040079072,0.4775489167558151,5
비읍,6.0,1.8168872667010874,0.5808001254879782,3
비읍,7.0,2.7064802000531927,1.0521461999742314,2
비읍,8.0,1.239572599995881,,1
시옷,1.0,1.807459349976853,0.3285437501035631,2
시옷,2.0,1.7066189999847363,0.07134694012509467,3
시옷,3.0,1.5664707999676466,0.07930814927757551,3
시옷,4.0,1.3147717999915283,0.2362372277884884,3
시옷,5.0,1.9876652400009334,0.4341778294892309,5
시옷,6.0,2.4379772667307407,0.4968207854850501,3
시옷,7.0,1.0876619000919163,,1
시옷,8.0,1.08724240004085,,1
이응,1.0,2.3455628500087187,0.11830055003520122,2
이응,2.0,2.1747434500139207,0.18992361178145556,4
이응,3.0,1.8528164000017568,0.35399551903615184,4
이응,4.0,1.3384592399932445,0.1784388611947772,5
이응,5.0,2.1471615799702706,1.0032660479948514,5
이응,6.0,2.2189608332701027,1.2962162257067538,3
이응,7.0,1.40453585004434,0.3753096500877291,2
이응,8.0,1.0842611999250948,,1
이응,9.0,1.5976658998988569,,1
지읒,1.0,1.5076706998515874,,1
지읒,2.0,1.5295704750460573,0.2062568597145863,4
지읒,3.0,1.1988056000942986,0.15510893977973014,3
지읒,4.0,2.1116865799762308,0.43391171929158323,5
지읒,5.0,1.9280300000216812,0.33171571760669327,5
지읒,6.0,1.8171137667571504,0.5725193170722221,3
지읒,7.0,0.938651599921286,,1
지읒,8.0,1.89836289989762,,1
