position,position_label,exposure_index,rt_mean,rt_sem,n_correct_rt
1,P1 wrist-left,1.0,1.3736724499613047,0.3152796500362456,2
1,P1 wrist-left,2.0,1.6425547750550322,0.27571507509993964,4
1,P1 wrist-left,3.0,2.0043595400173215,0.7033652825008396,5
1,P1 wrist-left,4.0,1.5966881200205534,0.3610414468889589,5
1,P1 wrist-left,5.0,3.091131620062515,0.9528026946363795,5
1,P1 wrist-left,6.0,2.567113466716061,1.1469174453195103,3
1,P1 wrist-left,7.0,1.7170897501055151,0.06275575002655386,2
1,P1 wrist-left,8.0,1.239572599995881,,1
2,P2 wrist-center,1.0,1.6856908499030396,0.541571450070478,2
2,P2 wrist-center,2.0,2.1764060666707032,0.6136276909000759,6
2,P2 wrist-center,3.0,1.2317884599789977,0.1521663730670357,5
2,P2 wrist-center,4.0,1.2241414000280202,0.17998656131817223,5
2,P2 wrist-center,5.0,1.375864199968055,0.136200452266012,5
2,P2 wrist-center,6.0,1.317184533380593,0.20045029017372962,3
2,P2 wrist-center,7.0,0.922481399960816,0.13634800002910205,2
2,P2 wrist-center,8.0,1.1456115001346916,,1
2,P2 wrist-center,9.0,0.7865361000876874,,1
3,P3 wrist-right,1.0,1.0885848000179976,,1
3,P3 wrist-right,2.0,1.4183174000354484,0.4498387001221999,2
3,P3 wrist-right,3.0,0.8716034600045532,0.07229456835177607,5
3,P3 wrist-right,4.0,1.670563924999442,0.5786689175538863,4
3,P3 wrist-right,5.0,2.5514084749738686,0.5577824996828897,4
3,P3 wrist-right,6.0,1.8969900499796495,0.5418717499123886,2
3,P3 wrist-right,7.0,1.148327250033617,0.15014884993433936,2
3,P3 wrist-right,8.0,1.1144690001383424,,1
4,P4 mid-left,1.0,2.4668101499555632,1.051292949938215,2
4,P4 mid-left,2.0,1.8977838000282643,,1
4,P4 mid-left,3.0,2.997545833388964,0.5020535751577005,3
4,P4 mid-left,4.0,2.039053450047504,0.4999442783986194,4
4,P4 mid-left,5.0,3.231070375011768,1.109358347862793,4
4,P4 mid-left,6.0,1.8577593333708744,0.5866745076023575,3
4,P4 mid-left,8.0,1.89836289989762,,1
5,P5 mid-center,1.0,1.4167158000636846,,1
5,P5 mid-center,2.0,2.018827624968253,0.5291111346989108,4
5,P5 mid-center,3.0,1.9183132750331424,0.444542487048652,4
5,P5 mid-center,4.0,1.7582236800342799,0.30542287218606534,5
5,P5 mid-center,5.0,1.584540159953758,0.23314962765046085,5
5,P5 mid-center,6.0,1.1890928666107357,0.14471640475092862,3
5,P5 mid-center,7.0,1.0292261999566108,,1
5,P5 mid-center,8.0,1.0842611999250948,,1
5,P5 mid-center,9.0,1.5976658998988569,,1
6,P6 mid-right,2.0,2.1222161250188947,0.42447780383371975,4
6,P6 mid-right,3.0,1.3583617999684066,0.24026530003175137,2
6,P6 mid-right,4.0,2.407990683374616,0.45948681917637296,6
6,P6 mid-right,5.0,2.053043675085064,0.3240828907226755,4
6,P6 mid-right,6.0,1.4770366000011563,0.0591174999717623,2
6,P6 mid-right,7.0,1.1185666000237688,0.05662149994168441,2
6,P6 mid-right,8.0,1.3537419000640512,,1
7,P7 elbow-left,1.0,2.136003100080416,,1
7,P7 elbow-left,3.0,1.5375970000750385,0.18480363305297548,4
7,P7 elbow-left,4.0,1.580445933310936,0.3507368273256035,6
7,P7 elbow-left,5.0,1.129038259992376,0.16635085253333062,5
7,P7 elbow-left,6.0,1.237066733262812,0.21002064404618864,3
7,P7 elbow-left,7.0,2.7089261000510305,1.0497002999763936,2
7,P7 elbow-left,8.0,1.8064808000344783,,1
7,P7 elbow-left,9.0,1.7451522999908775,,1
8,P8 elbow-center,1.0,2.46386340004392,,1
8,P8 elbow-center,2.0,1.829532699950505,0.3079930687729079,4
8,P8 elbow-center,3.0,1.928510700003244,0.7795980999944732,2
8,P8 elbow-center,4.0,1.4545218749553896,0.4293908160216598,4
8,P8 elbow-center,5.0,2.0405087999999525,0.5260142788384095,5
8,P8 elbow-center,6.0,2.4476513667808226,0.4996886219474635,3
8,P8 elbow-center,7.0,1.0131567500066012,0.07450515008531516,2
8,P8 elbow-center,8.0,1.08724240004085,,1
9,P9 elbow-right,1.0,1.4932931498624384,0.014377549989148862,2
9,P9 elbow-right,2.0,1.6380579000494133,0.35375706605090385,3
9,P9 elbow-right,3.0,1.4103888750541955,0.06992407147949085,4
9,P9 elbow-right,4.0,1.109611599938944,0.053369803115025705,4
9,P9 elbow-right,5.0,1.9622886499855667,0.8517226453708665,6
9,P9 elbow-right,6.0,2.271182999946177,0.5850953999906778,2
9,P9 elbow-right,7.0,1.7482859001029283,0.20962410001084208,2
9,P9 elbow-right,8.0,3.007740099914372,,1
